Members.MemberEmailAuthorisationNeededMessage,Cliquez sur le lien inclus dans l'email de confirmation pour activer votre compte.
Members.MemberEmailAuthorisationResend,Renvoyer le mail de confirmation
Members.MessageMe,Contactez moi
Confirmation.DeleteMembersPosts,Etes-vous sûr ? Ceci supprimera toutes les questions et posts des membres !
Moderate.AwaitingModeration,Votre post est actuellement en attente de modération. Une fois approuvé, il sera publié sur le site
Badges.AwardsPoints,Points de récompenses {0}
Language.Change,Changer la langue
Post.Quote,Citer
Members.Label.UploadNewAvatar,Télécharger une nouvelle image de profil
Member.HasNewPrivateMessages,Vous avez de nouveaux messages privés non lus
Badge.AuthorMarkAsSolution.Name,Votre question est résolue
Badge.AuthorMarkAsSolution.Desc,Ce badge est offert à un utilisateur lorsqu’il marque un autre post d’utilisateurs comme la solution à sa question
Badge.UserVoteUp.Name,Vous avez effectué votre premier vote
Badge.UserVoteUp.Desc,Ce badge est offert aux utilisateurs après leurs premiers votes
Badge.PostMentionsUmbraco.Name,Fan d'Umbraco
Badge.PostMentionsUmbraco.Desc,Ce badge est offert à un utilisateur qui mentionne Umbraco dans son dernier message
Badge.PosterVoteUp.Name,Premier vote pour reçu
Badge.PosterVoteUp.Desc,Ce badge est offert aux utilisateurs après qu’ils aient reçu leur premier vote "pour" d’un autre utilisateur
Badge.PosterMarkAsSolution.Name,Post choisi comme solution
Badge.PosterMarkAsSolution.Desc,Ce badge est offert à un utilisateur, lorsque son post est marqué comme étant la solution à une question
Badge.Padawan.Name,Padawan
Badge.Padawan.Desc,Avoir 10 messages ou plus acceptés comme solution
Badge.OneThousandPoints.Name,Mille à l'heure
Badge.OneThousandPoints.Desc,Ce badge est offert aux utilisateurs qui ont reçu 1000 points
Badge.MemberForAYear.Name,Premier anniversaire
Badge.MemberForAYear.Desc,Ce badge est attribué à un utilisateur après leur premier anniversaire
Badge.TheGrouch.Name,Le grincheux
Badge.TheGrouch.Desc,Ce badge est offert aux utilisateurs qui ont voté contre des posts 10 fois ou plus
Badge.JediMaster.Name,Maître Jedi
